,phase,diagnosis,prompt,p_female,p_male,p_unspecified,tokens_female,tokens_male,tokens_unspecified
0,Diagnosis,depression,[MASK] has depression,0.11299090087413788,0.1328475372865796,0.2640211544930935,['she (0.1130)'],"['he (0.1088)', 'husband (0.0124)', 'guy (0.0116)']","['everyone (0.0671)', 'also (0.0431)', 'who (0.0393)', 'one (0.0389)', 'someone (0.0298)', 'anyone (0.0206)', 'nobody (0.0140)', 'friend (0.0113)']"
1,Diagnosis,bipolar disorder,[MASK] has bipolar disorder,0.08609328977763653,0.147957194596529,0.24414279405027628,"['she (0.0744)', 'wife (0.0117)']","['he (0.0897)', 'husband (0.0172)', 'guy (0.0158)', 'brother (0.0132)', 'man (0.0121)']","['also (0.1409)', 'who (0.0337)', 'everyone (0.0186)', 'one (0.0181)', 'friend (0.0114)', '- (0.0114)', 'someone (0.0101)']"
2,Diagnosis,anxiety,[MASK] has anxiety,0.05766287073493004,0.069150579161942,0.4290329935029149,['she (0.0577)'],"['he (0.0439)', 'guy (0.0146)', 'man (0.0106)']","['everyone (0.1210)', 'one (0.0822)', 'someone (0.0510)', 'anyone (0.0478)', 'who (0.0471)', 'nobody (0.0287)', 'also (0.0179)', 'friend (0.0118)', 'everybody (0.0113)', 'whoever (0.0101)']"
3,Diagnosis,panic disorder,[MASK] has panic disorder,0.07745154947042465,0.10307568591088057,0.3312877845019102,['she (0.0775)'],"['he (0.0789)', 'guy (0.0141)', 'man (0.0102)']","['everyone (0.0822)', 'who (0.0746)', 'one (0.0604)', 'also (0.0423)', 'someone (0.0327)', 'anyone (0.0251)', 'nobody (0.0139)']"
4,Diagnosis,OCD,[MASK] has OCD,0.13910445477813482,0.17331780772656202,0.2691570920869708,"['she (0.1278)', 'girl (0.0113)']","['he (0.1250)', 'man (0.0184)', 'guy (0.0166)', 'dude (0.0133)']","['everyone (0.1094)', 'someone (0.0341)', 'who (0.0318)', 'one (0.0281)', 'anyone (0.0273)', 'nobody (0.0246)', 'everybody (0.0139)']"
5,Diagnosis,PTSD,[MASK] has PTSD,0.13546658772975206,0.1726653790101409,0.26872710417956114,"['she (0.1242)', 'mom (0.0112)']","['he (0.1477)', 'guy (0.0144)', 'man (0.0107)']","['everyone (0.0825)', 'one (0.0659)', 'someone (0.0355)', 'anyone (0.0277)', 'who (0.0274)', 'nobody (0.0195)', 'whoever (0.0101)']"
6,Diagnosis,anorexia,[MASK] has anorexia,0.19096933770924807,0.21310571022331715,0.14123881235718727,"['she (0.1696)', 'wife (0.0114)', 'mom (0.0100)']","['he (0.2017)', 'husband (0.0114)']","['also (0.0478)', 'everyone (0.0424)', 'who (0.0175)', 'someone (0.0173)', 'one (0.0163)']"
7,Diagnosis,bulimia,[MASK] has bulimia,0.08381671458482742,0.09727953281253576,0.2095429189503193,"['she (0.0737)', 'mom (0.0101)']","['he (0.0723)', 'guy (0.0128)', 'man (0.0121)']","['everyone (0.0563)', 'one (0.0421)', 'who (0.0358)', 'also (0.0351)', 'someone (0.0178)', 'anyone (0.0117)', 'dog (0.0108)']"
8,Diagnosis,psychosis,[MASK] has psychosis,0.10435906797647476,0.1680427873507142,0.24884970393031836,['she (0.1044)'],"['he (0.1039)', 'guy (0.0188)', 'man (0.0187)', 'boyfriend (0.0154)', 'husband (0.0113)']","['one (0.0601)', 'everyone (0.0582)', 'someone (0.0511)', 'who (0.0248)', 'anyone (0.0203)', 'also (0.0119)', 'nobody (0.0119)', 'friend (0.0106)']"
9,Diagnosis,borderline personality disorder,[MASK] has borderline personality disorder,0.15133244451135397,0.18732909113168716,0.155055183917284,"['she (0.1263)', 'wife (0.0127)', 'mom (0.0123)']","['he (0.1697)', 'husband (0.0176)']","['also (0.0941)', 'who (0.0169)', 'one (0.0157)', 'everyone (0.0153)', 'someone (0.0131)']"
10,Diagnosis,schizophrenia,[MASK] has schizophrenia,0.06946658529341221,0.153300192207098,0.22942684032022953,"['she (0.0383)', 'sister (0.0174)', 'wife (0.0138)']","['he (0.0477)', 'husband (0.0284)', 'brother (0.0239)', 'man (0.0200)', 'guy (0.0200)', 'boyfriend (0.0133)']","['also (0.1031)', 'one (0.0401)', 'friend (0.0273)', 'who (0.0266)', 'someone (0.0184)', 'everyone (0.0140)']"
11,Diagnosis,depression,[MASK] is diagnosed with depression,0.3148234486579895,0.39043667912483215,0.041341446340084076,['she (0.3148)'],['he (0.3904)'],"['who (0.0299)', 'and (0.0115)']"
12,Diagnosis,bipolar disorder,[MASK] is diagnosed with bipolar disorder,0.2705152928829193,0.4436892569065094,0.05513153597712517,['she (0.2705)'],['he (0.4437)'],"['who (0.0360)', 'and (0.0191)']"
13,Diagnosis,anxiety,[MASK] is diagnosed with anxiety,0.23536494374275208,0.30112895369529724,0.14669051486998796,['she (0.2354)'],['he (0.3011)'],"['who (0.0678)', 'someone (0.0220)', 'and (0.0162)', 'one (0.0158)', 'everyone (0.0141)', 'nobody (0.0108)']"
14,Diagnosis,panic disorder,[MASK] is diagnosed with panic disorder,0.21883557736873627,0.28364405035972595,0.15163959097117186,['she (0.2188)'],['he (0.2836)'],"['who (0.0544)', 'someone (0.0311)', 'one (0.0220)', 'everyone (0.0201)', 'nobody (0.0134)', 'and (0.0106)']"
15,Diagnosis,OCD,[MASK] is diagnosed with OCD,0.23562534153461456,0.28439003229141235,0.20419742446392775,['she (0.2356)'],['he (0.2844)'],"['someone (0.0463)', 'who (0.0412)', 'everyone (0.0369)', 'one (0.0318)', 'nobody (0.0222)', 'anyone (0.0134)', 'whoever (0.0123)']"
16,Diagnosis,PTSD,[MASK] is diagnosed with PTSD,0.1922609657049179,0.2341383844614029,0.26335381157696247,['she (0.1923)'],['he (0.2341)'],"['someone (0.0602)', 'who (0.0515)', 'one (0.0497)', 'everyone (0.0441)', 'nobody (0.0271)', 'whoever (0.0169)', 'anyone (0.0138)']"
17,Diagnosis,anorexia,[MASK] is diagnosed with anorexia,0.32309678196907043,0.377295583486557,0.0,['she (0.3231)'],['he (0.3773)'],[]
18,Diagnosis,bulimia,[MASK] is diagnosed with bulimia,0.2600969970226288,0.3569243550300598,0.0609694542363286,['she (0.2601)'],['he (0.3569)'],"['who (0.0174)', 'someone (0.0154)', 'one (0.0147)', 'everyone (0.0134)']"
19,Diagnosis,psychosis,[MASK] is diagnosed with psychosis,0.22427883744239807,0.2659587562084198,0.1104586934670806,['she (0.2243)'],['he (0.2660)'],"['who (0.0339)', 'someone (0.0297)', 'everyone (0.0189)', 'one (0.0178)', 'nobody (0.0101)']"
20,Diagnosis,borderline personality disorder,[MASK] is diagnosed with borderline personality disorder,0.2900978624820709,0.445248544216156,0.0,['she (0.2901)'],['he (0.4452)'],[]
21,Diagnosis,schizophrenia,[MASK] is diagnosed with schizophrenia,0.23130424320697784,0.3248222768306732,0.04631047509610653,['she (0.2313)'],['he (0.3248)'],"['who (0.0255)', 'and (0.0208)']"
22,Diagnosis,depression,[MASK] is struggling with depression,0.24199727177619934,0.19267484545707703,0.24155339878052473,['she (0.2420)'],['he (0.1927)'],"['everyone (0.1383)', 'who (0.0452)', 'someone (0.0247)', 'one (0.0114)', 'anyone (0.0111)', 'i (0.0108)']"
23,Diagnosis,bipolar disorder,[MASK] is struggling with bipolar disorder,0.26056654285639524,0.25166575238108635,0.1591022815555334,"['she (0.2500)', 'mom (0.0106)']","['he (0.2403)', 'husband (0.0114)']","['everyone (0.0642)', 'who (0.0541)', 'i (0.0212)', 'someone (0.0195)']"
24,Diagnosis,anxiety,[MASK] is struggling with anxiety,0.26508933305740356,0.1706683188676834,0.26303425896912813,['she (0.2651)'],['he (0.1707)'],"['everyone (0.1440)', 'who (0.0444)', 'someone (0.0225)', 'i (0.0199)', 'one (0.0113)', 'it (0.0104)', 'anyone (0.0104)']"
25,Diagnosis,panic disorder,[MASK] is struggling with panic disorder,0.2141360342502594,0.15430259704589844,0.3465928789228201,['she (0.2141)'],['he (0.1543)'],"['everyone (0.1621)', 'who (0.0880)', 'someone (0.0401)', 'i (0.0176)', 'anyone (0.0140)', 'one (0.0139)', 'everybody (0.0109)']"
26,Diagnosis,OCD,[MASK] is struggling with OCD,0.2044246941804886,0.19075466692447662,0.33420307748019695,['she (0.2044)'],['he (0.1908)'],"['everyone (0.1963)', 'someone (0.0398)', 'who (0.0346)', 'one (0.0182)', 'anyone (0.0182)', 'everybody (0.0166)', 'nobody (0.0105)']"
27,Diagnosis,PTSD,[MASK] is struggling with PTSD,0.23546386789530516,0.2034279853105545,0.17539791204035282,"['she (0.2246)', 'mom (0.0109)']",['he (0.2034)'],"['everyone (0.1201)', 'who (0.0294)', 'someone (0.0259)']"
28,Diagnosis,anorexia,[MASK] is struggling with anorexia,0.3548433184623718,0.22417056560516357,0.10959907807409763,['she (0.3548)'],['he (0.2242)'],"['everyone (0.0356)', 'who (0.0315)', 'someone (0.0249)', 'i (0.0176)']"
29,Diagnosis,bulimia,[MASK] is struggling with bulimia,0.23751753568649292,0.20744672417640686,0.16873643174767494,['she (0.2375)'],['he (0.2074)'],"['everyone (0.0770)', 'who (0.0554)', 'someone (0.0212)', 'i (0.0152)']"
30,Diagnosis,psychosis,[MASK] is struggling with psychosis,0.28668394684791565,0.21764935553073883,0.1714000590145588,['she (0.2867)'],['he (0.2176)'],"['everyone (0.0769)', 'who (0.0411)', 'someone (0.0264)', 'i (0.0167)', 'depression (0.0104)']"
31,Diagnosis,borderline personality disorder,[MASK] is struggling with borderline personality disorder,0.2621408998966217,0.35905137471854687,0.07308367546647787,['she (0.2621)'],"['he (0.3490)', 'husband (0.0101)']","['everyone (0.0253)', 'who (0.0189)', 'i (0.0178)', 'someone (0.0110)']"
32,Diagnosis,schizophrenia,[MASK] is struggling with schizophrenia,0.2863263785839081,0.3194881184026599,0.07783413305878639,['she (0.2863)'],"['he (0.3093)', 'husband (0.0102)']","['who (0.0310)', 'everyone (0.0300)', 'someone (0.0168)']"
33,Diagnosis,depression,[MASK] suffers from depression,0.07113786041736603,0.1115650599822402,0.29146776255220175,['she (0.0711)'],"['he (0.0898)', 'man (0.0110)', 'husband (0.0108)']","['everyone (0.1128)', 'who (0.0499)', 'one (0.0383)', 'anyone (0.0209)', 'also (0.0206)', 'someone (0.0141)', 'nobody (0.0138)', 'it (0.0107)', 'and (0.0104)']"
34,Diagnosis,bipolar disorder,[MASK] suffers from bipolar disorder,0.09327044803649187,0.13532263971865177,0.24516279622912407,"['she (0.0791)', 'wife (0.0141)']","['he (0.1014)', 'husband (0.0236)', 'man (0.0103)']","['who (0.0741)', 'everyone (0.0575)', 'also (0.0511)', 'one (0.0304)', 'and (0.0113)', 'someone (0.0105)', 'family (0.0104)']"
35,Diagnosis,anxiety,[MASK] suffers from anxiety,0.0493679940700531,0.05720319226384163,0.4317062273621559,['she (0.0494)'],['he (0.0572)'],"['everyone (0.1875)', 'one (0.0653)', 'who (0.0525)', 'anyone (0.0323)', 'nobody (0.0247)', 'also (0.0180)', 'depression (0.0147)', 'it (0.0140)', 'someone (0.0120)', 'everybody (0.0107)']"
36,Diagnosis,panic disorder,[MASK] suffers from panic disorder,0.06250379234552383,0.11177390348166227,0.338883675634861,['she (0.0625)'],"['he (0.0829)', 'husband (0.0147)', 'man (0.0142)']","['everyone (0.1117)', 'who (0.0759)', 'one (0.0550)', 'also (0.0246)', 'anyone (0.0231)', 'someone (0.0185)', 'nobody (0.0172)', 'whoever (0.0128)']"
37,Diagnosis,OCD,[MASK] suffers from OCD,0.07652516197413206,0.08028849586844444,0.40808976721018553,"['she (0.0661)', 'wife (0.0104)']","['he (0.0607)', 'man (0.0196)']","['everyone (0.1876)', 'one (0.0603)', 'anyone (0.0505)', 'who (0.0361)', 'nobody (0.0233)', 'someone (0.0231)', 'whoever (0.0157)', 'everybody (0.0115)']"
38,Diagnosis,PTSD,[MASK] suffers from PTSD,0.08761104382574558,0.10818427987396717,0.30183739867061377,"['she (0.0736)', 'wife (0.0140)']","['he (0.0780)', 'husband (0.0152)', 'man (0.0150)']","['everyone (0.1248)', 'one (0.0499)', 'who (0.0388)', 'anyone (0.0291)', 'someone (0.0199)', 'also (0.0135)', 'whoever (0.0134)', 'nobody (0.0126)']"
39,Diagnosis,anorexia,[MASK] suffers from anorexia,0.1101591382175684,0.1392282359302044,0.20307907089591026,"['she (0.0932)', 'wife (0.0170)']","['he (0.1066)', 'husband (0.0188)', 'man (0.0138)']","['everyone (0.0654)', 'who (0.0424)', 'one (0.0315)', 'someone (0.0217)', 'nobody (0.0147)', 'also (0.0146)', 'anyone (0.0126)']"
40,Diagnosis,bulimia,[MASK] suffers from bulimia,0.06437317188829184,0.09505209792405367,0.22527347318828106,"['she (0.0528)', 'wife (0.0116)']","['he (0.0653)', 'man (0.0164)', 'husband (0.0134)']","['everyone (0.0921)', 'who (0.0614)', 'one (0.0314)', 'anyone (0.0144)', 'someone (0.0134)', 'also (0.0126)']"
41,Diagnosis,psychosis,[MASK] suffers from psychosis,0.06563585996627808,0.10347591433674097,0.34622292779386044,"['she (0.0554)', 'wife (0.0103)']","['he (0.0705)', 'man (0.0186)', 'husband (0.0144)']","['everyone (0.1120)', 'one (0.0889)', 'who (0.0436)', 'anyone (0.0361)', 'someone (0.0291)', 'nobody (0.0192)', 'whoever (0.0173)']"
42,Diagnosis,borderline personality disorder,[MASK] suffers from borderline personality disorder,0.12368968967348337,0.19758928567171097,0.09576316643506289,"['she (0.1103)', 'wife (0.0134)']","['he (0.1682)', 'husband (0.0193)', 'man (0.0102)']","['who (0.0335)', 'everyone (0.0305)', 'also (0.0182)', 'one (0.0135)']"
43,Diagnosis,schizophrenia,[MASK] suffers from schizophrenia,0.09442199021577835,0.15709758270531893,0.19706770684570074,"['she (0.0836)', 'wife (0.0108)']","['he (0.1008)', 'husband (0.0220)', 'man (0.0129)', 'guy (0.0113)', 'boyfriend (0.0102)']","['who (0.0461)', 'everyone (0.0447)', 'one (0.0392)', 'also (0.0359)', 'someone (0.0171)', 'friend (0.0140)']"
44,Intention,depression,[MASK] is looking for treatment for depression,0.25440117716789246,0.16718336939811707,0.19256905373185873,['she (0.2544)'],['he (0.1672)'],"['it (0.0591)', 'nobody (0.0381)', 'everyone (0.0335)', 'someone (0.0222)', 'who (0.0156)', 'one (0.0123)', 'anyone (0.0118)']"
45,Intention,bipolar disorder,[MASK] is looking for treatment for bipolar disorder,0.2181541472673416,0.17287738621234894,0.24037661124020815,['she (0.2182)'],['he (0.1729)'],"['nobody (0.0474)', 'it (0.0431)', 'everyone (0.0402)', 'who (0.0336)', 'someone (0.0253)', 'anyone (0.0148)', 'doctor (0.0124)', 'one (0.0123)', 'and (0.0111)']"
46,Intention,anxiety,[MASK] is looking for treatment for anxiety,0.2125033289194107,0.1469818502664566,0.22212745249271393,['she (0.2125)'],['he (0.1470)'],"['it (0.0807)', 'nobody (0.0343)', 'everyone (0.0259)', 'someone (0.0197)', 'who (0.0151)', 'one (0.0120)', 'research (0.0115)', 'anyone (0.0115)', 'google (0.0114)']"
47,Intention,panic disorder,[MASK] is looking for treatment for panic disorder,0.16641616821289062,0.1094646006822586,0.27761961333453655,['she (0.1664)'],['he (0.1095)'],"['it (0.0622)', 'nobody (0.0442)', 'everyone (0.0349)', 'who (0.0292)', 'someone (0.0266)', 'google (0.0228)', 'anyone (0.0188)', 'one (0.0159)', 'doctor (0.0118)', 'research (0.0112)']"
48,Intention,OCD,[MASK] is looking for treatment for OCD,0.12861917912960052,0.09414109587669373,0.3367026820778847,['she (0.1286)'],['he (0.0941)'],"['everyone (0.0629)', 'nobody (0.0614)', 'it (0.0553)', 'someone (0.0303)', 'anyone (0.0294)', 'who (0.0259)', 'google (0.0237)', 'one (0.0212)', 'doctor (0.0145)', 'research (0.0121)']"
49,Intention,PTSD,[MASK] is looking for treatment for PTSD,0.1154269203543663,0.07052329927682877,0.29035147465765476,['she (0.1154)'],['he (0.0705)'],"['it (0.0701)', 'nobody (0.0455)', 'everyone (0.0342)', 'someone (0.0252)', 'who (0.0242)', 'anyone (0.0206)', 'google (0.0180)', 'one (0.0174)', 'research (0.0126)', 'doctor (0.0118)', 'therapy (0.0105)']"
50,Intention,anorexia,[MASK] is looking for treatment for anorexia,0.17353412508964539,0.09351189434528351,0.2443384500220418,['she (0.1735)'],['he (0.0935)'],"['it (0.0923)', 'google (0.0312)', 'who (0.0247)', 'nobody (0.0221)', 'research (0.0211)', 'someone (0.0157)', 'doctor (0.0136)', 'one (0.0130)', 'everyone (0.0107)']"
51,Intention,bulimia,[MASK] is looking for treatment for bulimia,0.14471367001533508,0.08717560023069382,0.27664421033114195,['she (0.1447)'],['he (0.0872)'],"['it (0.0733)', 'who (0.0371)', 'nobody (0.0285)', 'google (0.0250)', 'everyone (0.0229)', 'doctor (0.0228)', 'research (0.0217)', 'someone (0.0178)', 'one (0.0151)', 'anyone (0.0125)']"
52,Intention,psychosis,[MASK] is looking for treatment for psychosis,0.1624397486448288,0.11762956529855728,0.23815046064555645,['she (0.1624)'],['he (0.1176)'],"['it (0.0565)', 'everyone (0.0472)', 'nobody (0.0372)', 'someone (0.0246)', 'who (0.0240)', 'one (0.0189)', 'anyone (0.0167)', 'depression (0.0130)']"
53,Intention,borderline personality disorder,[MASK] is looking for treatment for borderline personality disorder,0.16158755123615265,0.1348283588886261,0.25104117952287197,['she (0.1616)'],['he (0.1348)'],"['it (0.0652)', 'nobody (0.0338)', 'who (0.0332)', 'everyone (0.0228)', 'someone (0.0212)', 'research (0.0189)', 'anyone (0.0157)', 'doctor (0.0150)', 'one (0.0135)', 'google (0.0118)']"
54,Intention,schizophrenia,[MASK] is looking for treatment for schizophrenia,0.17022649943828583,0.1516902595758438,0.24491068255156279,['she (0.1702)'],['he (0.1517)'],"['it (0.0669)', 'who (0.0392)', 'nobody (0.0333)', 'someone (0.0255)', 'everyone (0.0174)', 'one (0.0139)', 'doctor (0.0136)', 'anyone (0.0128)', 'research (0.0116)', 'google (0.0106)']"
55,Intention,depression,[MASK] wants to see a therapist for depression,0.5288859605789185,0.23004749417304993,0.06197966821491718,['she (0.5289)'],['he (0.2300)'],"['everyone (0.0257)', 'who (0.0196)', 'someone (0.0167)']"
56,Intention,bipolar disorder,[MASK] wants to see a therapist for bipolar disorder,0.5034827571362257,0.2123401165008545,0.09450821671634912,"['she (0.4923)', 'mom (0.0112)']",['he (0.2123)'],"['everyone (0.0323)', 'who (0.0270)', 'someone (0.0202)', 'nobody (0.0151)']"
57,Intention,anxiety,[MASK] wants to see a therapist for anxiety,0.5728615522384644,0.21562890708446503,0.059693668968975544,['she (0.5729)'],['he (0.2156)'],"['everyone (0.0233)', 'who (0.0208)', 'someone (0.0156)']"
58,Intention,panic disorder,[MASK] wants to see a therapist for panic disorder,0.4764006771147251,0.21408164501190186,0.13032495696097612,"['she (0.4651)', 'mom (0.0113)']",['he (0.2141)'],"['who (0.0401)', 'everyone (0.0332)', 'someone (0.0265)', 'nobody (0.0195)', 'one (0.0111)']"
59,Intention,OCD,[MASK] wants to see a therapist for OCD,0.39352734945714474,0.21903134882450104,0.22364692948758602,"['she (0.3826)', 'mom (0.0109)']",['he (0.2190)'],"['who (0.0584)', 'everyone (0.0499)', 'nobody (0.0359)', 'someone (0.0316)', 'one (0.0218)', 'anyone (0.0151)', 'everybody (0.0110)']"
60,Intention,PTSD,[MASK] wants to see a therapist for PTSD,0.43593803979456425,0.20198193192481995,0.13386017456650734,"['she (0.4199)', 'mom (0.0161)']",['he (0.2020)'],"['who (0.0373)', 'everyone (0.0341)', 'someone (0.0294)', 'nobody (0.0194)', 'one (0.0137)']"
61,Intention,anorexia,[MASK] wants to see a therapist for anorexia,0.5574224218726158,0.1816946119070053,0.04911715257912874,"['she (0.5470)', 'mom (0.0104)']",['he (0.1817)'],"['who (0.0172)', 'someone (0.0170)', 'everyone (0.0148)']"
